split,cell_id,group,comparator,E,overlap_mass,low_bins,high_bins,low_overlap_fraction,high_overlap_fraction,retained_strata,residual_U_difference,residual_M_difference,residual_C_difference
development,69#4,MC_ON,CNN,-0.07725727168229342,390,504,504,0.7738095238095238,0.7738095238095238,5,0.3623120490716738,0.38461715949425834,0.7789277255927779
development,69#6,MC_OFF,LN,-0.007930967574247778,420,588,588,0.7142857142857143,0.7142857142857143,5,0.26065039975482795,0.29761143981417426,0.4358571791075494
development,69#6,MC_OFF,CNN,-0.041949272135996786,420,588,588,0.7142857142857143,0.7142857142857143,5,0.26065039975482795,0.29761143981417426,0.4358571791075494
development,69#7,MC_ON,LN,0.02700371018558321,399,588,588,0.6785714285714286,0.6785714285714286,5,0.22170371478431397,0.3072137215590055,0.3807149559463405
development,69#7,MC_ON,CNN,0.03141838765800857,399,588,588,0.6785714285714286,0.6785714285714286,5,0.22170371478431397,0.3072137215590055,0.3807149559463405
development,69#21,PC_OFF,LN,-0.012294807062021124,384,504,504,0.7619047619047619,0.7619047619047619,5,0.39297260052943195,0.6732350348639692,0.6141540731597543
development,69#21,PC_OFF,CNN,-0.00034008497000329366,384,504,504,0.7619047619047619,0.7619047619047619,5,0.39297260052943195,0.6732350348639692,0.6141540731597543
development,70#1,PC_ON,LN,-0.028427384499688575,378,504,504,0.75,0.75,5,0.33145683886812605,0.4218738208242385,0.5866744713247973
development,70#1,PC_ON,CNN,0.015464363184777239,378,504,504,0.75,0.75,5,0.33145683886812605,0.4218738208242385,0.5866744713247973
development,70#7,PC_ON,LN,-0.02515089390639495,434,588,588,0.7380952380952381,0.7380952380952381,5,0.5776165960599701,0.6447355044635167,0.9464615313973119
development,70#7,PC_ON,CNN,-0.02713039168164925,434,588,588,0.7380952380952381,0.7380952380952381,5,0.5776165960599701,0.6447355044635167,0.9464615313973119
development,70#15,PC_ON,LN,-0.0007638479829855651,318,504,504,0.6309523809523809,0.6309523809523809,5,0.7935861136534218,0.8398447926762119,0.7725472510724588
development,70#15,PC_ON,CNN,0.0022739333939986806,318,504,504,0.6309523809523809,0.6309523809523809,5,0.7935861136534218,0.8398447926762119,0.7725472510724588
development,70#34,MC_ON,LN,-0.042035798371752135,434,588,588,0.7380952380952381,0.7380952380952381,5,0.2858150803269715,0.32144517194941014,0.8185110496912438
development,70#34,MC_ON,CNN,-0.09584384407592555,434,588,588,0.7380952380952381,0.7380952380952381,5,0.2858150803269715,0.32144517194941014,0.8185110496912438
consumed,67#4,PC_OFF,LN,-0.0672231228002539,418,916,613,0.45633187772925765,0.6818923327895595,5,0.28237986205454757,0.3363246444252923,1.3976813525620977
consumed,67#4,PC_OFF,CNN,-0.100543861085377,418,916,613,0.45633187772925765,0.6818923327895595,5,0.28237986205454757,0.3363246444252923,1.3976813525620977
consumed,67#6,MC_OFF,LN,-0.03210817925177617,4704,5964,6895,0.7887323943661971,0.682233502538071,5,0.1446965030346999,0.1911342412348203,1.0497137714511098
consumed,67#6,MC_OFF,CNN,-0.10950720854933604,4704,5964,6895,0.7887323943661971,0.682233502538071,5,0.1446965030346999,0.1911342412348203,1.0497137714511098
consumed,67#7,MC_ON,LN,-0.04833788718511196,4235,6615,6251,0.6402116402116402,0.6774916013437849,5,0.17385311866713765,0.25370394222228837,1.1770070222361881
consumed,67#7,MC_ON,CNN,-0.11521807996814376,4235,6615,6251,0.6402116402116402,0.6774916013437849,5,0.17385311866713765,0.25370394222228837,1.1770070222361881
consumed,67#14,PC_ON,LN,-0.029805105738065326,4655,7231,6734,0.643756050338819,0.6912681912681913,5,0.20351800176072365,0.2834700911854865,1.179415767812731
consumed,67#14,PC_ON,CNN,-0.0898505939020079,4655,7231,6734,0.643756050338819,0.6912681912681913,5,0.20351800176072365,0.2834700911854865,1.179415767812731
consumed,67#21,PC_ON,LN,-0.009588176230612873,4907,7084,7140,0.6926877470355731,0.6872549019607843,5,0.23732694986208788,0.2980329991537045,1.1414147907644383
consumed,67#21,PC_ON,CNN,-0.050368681431084444,4907,7084,7140,0.6926877470355731,0.6872549019607843,5,0.23732694986208788,0.2980329991537045,1.1414147907644383
consumed,67#26,PC_ON,LN,-0.02181957659401805,4347,7420,6223,0.5858490566037736,0.6985376827896513,5,0.2359885361408744,0.2990229427825109,1.2077595412686897
consumed,67#26,PC_ON,CNN,-0.03954568436785902,4347,7420,6223,0.5858490566037736,0.6985376827896513,5,0.2359885361408744,0.2990229427825109,1.2077595412686897
consumed,67#33,MC_OFF,LN,-0.04031639670300688,4242,6776,6426,0.6260330578512396,0.6601307189542484,5,0.25435250658003905,0.3071458699981234,1.1260286407089855
consumed,67#33,MC_OFF,CNN,-0.143840756678218,4242,6776,6426,0.6260330578512396,0.6601307189542484,5,0.25435250658003905,0.3071458699981234,1.1260286407089855
consumed,67#34,PC_ON,LN,-0.018663406565099083,3843,4914,5992,0.782051282051282,0.6413551401869159,5,0.08107830671720279,0.16507013715872965,1.2326193654439215
consumed,67#34,PC_ON,CNN,-0.03198884044589542,3843,4914,5992,0.782051282051282,0.6413551401869159,5,0.08107830671720279,0.16507013715872965,1.2326193654439215
consumed,68#3,MC_OFF,LN,-0.03246882507478113,4480,5642,7861,0.794044665012407,0.5699020480854853,5,0.10300523719628615,0.14849634598949132,1.0443716203788136
consumed,68#3,MC_OFF,CNN,-0.10560556735864715,4480,5642,7861,0.794044665012407,0.5699020480854853,5,0.10300523719628615,0.14849634598949132,1.0443716203788136
consumed,68#4,PC_ON,LN,-0.014279740598912773,3936,6354,5790,0.619452313503305,0.6797927461139897,5,0.2602657477737059,0.2906878423803289,1.220839850814443
consumed,68#4,PC_ON,CNN,-0.035594430000252225,3936,6354,5790,0.619452313503305,0.6797927461139897,5,0.2602657477737059,0.2906878423803289,1.220839850814443
consumed,68#7,PC_ON,LN,-0.03133308662231336,4459,5159,7539,0.864314789687924,0.5914577530176416,5,0.2631987810743998,0.35295765926371364,1.1183682357893998
consumed,68#7,PC_ON,CNN,-0.07913117803756957,4459,5159,7539,0.864314789687924,0.5914577530176416,5,0.2631987810743998,0.35295765926371364,1.1183682357893998
consumed,68#10,MC_ON,LN,-0.031041896704223224,765,768,1444,0.99609375,0.5297783933518005,5,0.14664500639803385,0.18927360819043243,0.812148980331445
consumed,68#10,MC_ON,CNN,-0.06948087006852333,765,768,1444,0.99609375,0.5297783933518005,5,0.14664500639803385,0.18927360819043243,0.812148980331445
consumed,68#11,PC_OFF,LN,-0.01000064854580674,5096,8022,7343,0.6352530541012217,0.6939942802669209,5,0.3092221656909559,0.34845616388150097,1.1462394572561854
consumed,68#11,PC_OFF,CNN,-0.03925644829838605,5096,8022,7343,0.6352530541012217,0.6939942802669209,5,0.3092221656909559,0.34845616388150097,1.1462394572561854
consumed,69#3,PC_OFF,LN,-0.019029618969571588,4361,6643,6370,0.6564805057955743,0.6846153846153846,5,0.16128484152508188,0.23082919619262862,1.2064094607784368
consumed,69#3,PC_OFF,CNN,-0.0634524234906931,4361,6643,6370,0.6564805057955743,0.6846153846153846,5,0.16128484152508188,0.23082919619262862,1.2064094607784368
consumed,69#4,MC_ON,LN,-0.06267225410669951,3516,5580,5268,0.6301075268817204,0.6674259681093394,5,0.17516228771913886,0.23340841692306313,1.1880722458122852
consumed,69#4,MC_ON,CNN,-0.10901506938659511,3516,5580,5268,0.6301075268817204,0.6674259681093394,5,0.17516228771913886,0.23340841692306313,1.1880722458122852
consumed,69#6,MC_OFF,LN,-0.05824603379045308,3710,5327,5670,0.6964520367936925,0.654320987654321,5,0.10143526906775926,0.15750526680823954,1.2295793503006454
consumed,69#6,MC_OFF,CNN,-0.1062759335807584,3710,5327,5670,0.6964520367936925,0.654320987654321,5,0.10143526906775926,0.15750526680823954,1.2295793503006454
consumed,69#7,MC_ON,LN,-0.006832422572395166,3675,6153,5621,0.5972696245733788,0.6537982565379825,5,0.15997138527911398,0.20424523982819415,1.1864868950311456
consumed,69#7,MC_ON,CNN,-0.02379983277605341,3675,6153,5621,0.5972696245733788,0.6537982565379825,5,0.15997138527911398,0.20424523982819415,1.1864868950311456
consumed,69#21,PC_OFF,LN,-0.023140121379833633,3006,7392,4188,0.40665584415584416,0.7177650429799427,5,0.27311879068312667,0.3236047956581988,1.4340441691826922
consumed,69#21,PC_OFF,CNN,-0.04880977273035159,3006,7392,4188,0.40665584415584416,0.7177650429799427,5,0.27311879068312667,0.3236047956581988,1.4340441691826922
consumed,70#1,PC_ON,LN,-0.02822522899223378,3342,8256,4470,0.404796511627907,0.7476510067114094,5,0.31292811099806,0.3507913699087847,1.375433881533724
consumed,70#1,PC_ON,CNN,-0.046481082490454545,3342,8256,4470,0.404796511627907,0.7476510067114094,5,0.31292811099806,0.3507913699087847,1.375433881533724
consumed,70#7,PC_ON,LN,-0.019247797091552592,4816,7630,6916,0.6311926605504588,0.6963562753036437,5,0.25784405300377244,0.30947314402749804,1.2118333129813408
consumed,70#7,PC_ON,CNN,-0.027776711300644026,4816,7630,6916,0.6311926605504588,0.6963562753036437,5,0.25784405300377244,0.30947314402749804,1.2118333129813408
consumed,70#15,PC_ON,LN,-0.02105335446607515,3714,4248,5718,0.8742937853107344,0.6495278069254984,5,0.11976296116954803,0.19236551053266865,1.1302348071196235
consumed,70#15,PC_ON,CNN,-0.030039647407909376,3714,4248,5718,0.8742937853107344,0.6495278069254984,5,0.11976296116954803,0.19236551053266865,1.1302348071196235
consumed,70#34,MC_ON,LN,-0.04041723074093468,4298,5180,7315,0.8297297297297297,0.5875598086124402,5,0.13424723905021776,0.20022933398409026,1.031482678510175
consumed,70#34,MC_ON,CNN,-0.11950307423667017,4298,5180,7315,0.8297297297297297,0.5875598086124402,5,0.13424723905021776,0.20022933398409026,1.031482678510175
