split,cell_id,group,pathway,matching_feature,stratum,low_bins,high_bins,overlap_mass,weight,E,Q1_U,Q5_U,Q1_LSC,Q5_LSC,Q1_C,Q5_C,Q1_R,Q5_R
consumed,67#4,PC_OFF,BC,LSC,4,44,257,44,0.5301204819277109,-0.13540373106728593,0.8112387517308393,1.197038554844894,0.4210018751285839,0.512312982446472,0.6895698380037423,0.9781354413730643,0.6863196997655652,0.982058485611661
consumed,67#4,PC_OFF,BC,LSC,5,19,727,19,0.2289156626506024,0.017716777431538322,1.823067211202885,2.8059412358102853,1.2957908043249675,1.6048115897078972,1.8003537919568389,2.712754475560765,1.8025781366595175,2.744953351828829
consumed,67#4,PC_OFF,AC,U,1,180,155,155,0.31313131313131315,0.13192791388041097,0.15232777056436236,0.14475208951794963,0.1507745734605758,0.9284605144669621,-0.056106198133299284,0.007993981252131502,-0.056152063274022765,0.5827254095799393
consumed,67#4,PC_OFF,AC,U,2,142,111,111,0.22424242424242424,-0.06243222580899327,0.39133289521297726,0.38815441205558787,0.12159884230110357,0.9910341310906873,-0.2692539668248468,-0.024381161379973457,-0.2688611458608159,0.5166030032225424
consumed,67#4,PC_OFF,AC,U,3,125,61,61,0.12323232323232323,-0.11211444272489,0.5695610717535019,0.5668940127399735,0.08468161180988314,1.0874134519381804,-0.4241397451162338,0.0673885556533322,-0.4240632567583369,0.6881146192099091
consumed,67#4,PC_OFF,AC,U,4,712,134,134,0.27070707070707073,-0.03671281434093886,0.7661374200219184,0.843144177304539,0.029916346320141902,1.0066579661112964,-0.6928518730728479,0.6080528539101552,-0.6915065777639383,0.8381851962092866
consumed,67#4,PC_OFF,AC,U,5,34,543,34,0.06868686868686869,0.16972150474182582,2.6772181350080406,3.946256394256215,0.6793921552664401,1.5623711583863167,2.6772181350080406,3.946256394256215,2.6765120173572687,3.588743398617556
consumed,67#4,PC_OFF,AC,LSC,1,845,0,0,0.0,,0.6993265015823276,,0.021046169006995248,,-0.6491195406385191,,-0.6481134600057973,
consumed,67#4,PC_OFF,AC,LSC,2,186,0,0,0.0,,0.4432836135562074,,0.09958136562140874,,-0.16400808027428473,,-0.16302560598181112,
consumed,67#4,PC_OFF,AC,LSC,3,99,20,20,0.24096385542168675,0.04360997913033273,0.47458823625618035,0.417130160065426,0.2014260359653601,0.25728165589868107,0.10937329011086158,0.16932262076443294,0.10996716219364512,0.13373638870096052
consumed,67#4,PC_OFF,AC,LSC,4,44,257,44,0.5301204819277109,0.09817525736380112,0.8112387517308393,1.197038554844894,0.4210018751285839,0.512312982446472,0.6895698380037423,0.9781354413730643,0.6863196997655652,0.982058485611661
consumed,67#4,PC_OFF,AC,LSC,5,19,727,19,0.2289156626506024,0.1237998997497425,1.823067211202885,2.8059412358102853,1.2957908043249675,1.6048115897078972,1.8003537919568389,2.712754475560765,1.8025781366595175,2.744953351828829
consumed,67#6,MC_OFF,BC,U,1,1120,371,371,0.17966101694915254,0.08141821615263295,0.09774910300027842,0.09331722046388094,0.190001629345498,1.23704835802006,-0.02882983319923369,0.018780448328306075,-0.03034829429495208,0.7844007909385802
consumed,67#6,MC_OFF,BC,U,2,1673,490,490,0.23728813559322035,0.12000131825093527,0.3069942378472132,0.3237050009983692,0.15412177417386433,1.1185950392859507,-0.15334057102260418,-0.019507634424288496,-0.15251532659917155,0.6087921504050076
consumed,67#6,MC_OFF,BC,U,3,1099,315,315,0.15254237288135594,0.08338029980340031,0.5159483581502585,0.5068692720060548,0.12124338427226443,1.0837333070051294,-0.39464850233345755,0.07532819373326169,-0.391896597096388,0.6234871579613166
consumed,67#6,MC_OFF,BC,U,4,5005,504,504,0.2440677966101695,-0.18738777332456535,0.7482270709491641,0.7301305158632911,0.031189672381121525,1.1058047720392836,-0.703981648783714,0.2973245069746756,-0.7009061015280825,0.6064889993778908
consumed,67#6,MC_OFF,BC,U,5,385,3409,385,0.1864406779661017,0.7336922260511535,2.3569621841135353,3.988214619279644,0.6770305330067291,1.750462122893767,2.3569621841135353,3.988214619279644,2.3565979428214394,3.5096102402548035
consumed,67#6,MC_OFF,BC,LSC,1,6552,0,0,0.0,,0.6534527814153304,,0.032419703538741906,,-0.6008849292987452,,-0.5984545909345781,
consumed,67#6,MC_OFF,BC,LSC,2,1575,0,0,0.0,,0.3699469071132545,,0.15074068763834458,,-0.09011206231142085,,-0.08932149788081584,
consumed,67#6,MC_OFF,BC,LSC,3,658,63,63,0.1125,0.09475674249444896,0.4588682553755674,0.9798072199026744,0.29460621799293624,0.35434800418182033,0.17330724334522604,0.6932412169045874,0.17574323409622306,0.5421384936715994
consumed,67#6,MC_OFF,BC,LSC,4,357,840,357,0.6375,0.15870797746959645,0.8220098352606416,1.3185118823834878,0.5351389905538347,0.634653755597406,0.6818237502218051,1.0752615161735595,0.6783642394255248,1.0585421534823365
consumed,67#6,MC_OFF,BC,LSC,5,140,4186,140,0.25,0.6059875323080565,2.735233615059406,3.1408102104698084,1.3280650440489612,1.7481247981054822,2.735233615059406,3.06257011583293,2.7382381148137416,2.898308870660079
consumed,67#6,MC_OFF,AC,U,1,1120,371,371,0.17966101694915254,0.07188600393323993,0.09774910300027842,0.09331722046388094,0.190001629345498,1.23704835802006,-0.02882983319923369,0.018780448328306075,-0.03034829429495208,0.7844007909385802
consumed,67#6,MC_OFF,AC,U,2,1673,490,490,0.23728813559322035,-0.15093332268676452,0.3069942378472132,0.3237050009983692,0.15412177417386433,1.1185950392859507,-0.15334057102260418,-0.019507634424288496,-0.15251532659917155,0.6087921504050076
consumed,67#6,MC_OFF,AC,U,3,1099,315,315,0.15254237288135594,0.036451674914222895,0.5159483581502585,0.5068692720060548,0.12124338427226443,1.0837333070051294,-0.39464850233345755,0.07532819373326169,-0.391896597096388,0.6234871579613166
consumed,67#6,MC_OFF,AC,U,4,5005,504,504,0.2440677966101695,0.06410896918257183,0.7482270709491641,0.7301305158632911,0.031189672381121525,1.1058047720392836,-0.703981648783714,0.2973245069746756,-0.7009061015280825,0.6064889993778908
consumed,67#6,MC_OFF,AC,U,5,385,3409,385,0.1864406779661017,0.06100050808701421,2.3569621841135353,3.988214619279644,0.6770305330067291,1.750462122893767,2.3569621841135353,3.988214619279644,2.3565979428214394,3.5096102402548035
consumed,67#6,MC_OFF,AC,LSC,1,6552,0,0,0.0,,0.6534527814153304,,0.032419703538741906,,-0.6008849292987452,,-0.5984545909345781,
consumed,67#6,MC_OFF,AC,LSC,2,1575,0,0,0.0,,0.3699469071132545,,0.15074068763834458,,-0.09011206231142085,,-0.08932149788081584,
consumed,67#6,MC_OFF,AC,LSC,3,658,63,63,0.1125,0.03718153441219349,0.4588682553755674,0.9798072199026744,0.29460621799293624,0.35434800418182033,0.17330724334522604,0.6932412169045874,0.17574323409622306,0.5421384936715994
consumed,67#6,MC_OFF,AC,LSC,4,357,840,357,0.6375,-0.057307919760956005,0.8220098352606416,1.3185118823834878,0.5351389905538347,0.634653755597406,0.6818237502218051,1.0752615161735595,0.6783642394255248,1.0585421534823365
consumed,67#6,MC_OFF,AC,LSC,5,140,4186,140,0.25,0.1363622235485511,2.735233615059406,3.1408102104698084,1.3280650440489612,1.7481247981054822,2.735233615059406,3.06257011583293,2.7382381148137416,2.898308870660079
consumed,67#7,MC_ON,BC,U,1,1253,777,777,0.2687651331719128,0.1514089265038856,0.12259791096450288,0.11727966962052551,0.17120295979362798,0.8451677320304365,-0.041677107707866076,0.01688700100590564,-0.04211418824256411,0.4199656441822233
consumed,67#7,MC_ON,BC,U,2,1638,777,777,0.2687651331719128,0.2016297809648297,0.37202498573041004,0.3702442640185306,0.16862365296547285,0.9507045080666298,-0.20831041939289885,0.07540608727931314,-0.20644879853276205,0.5034875581395818
consumed,67#7,MC_ON,BC,U,3,1064,329,329,0.11380145278450363,-0.17862298680395847,0.577652116697193,0.5792952337929134,0.0916871493546542,0.8429750079435603,-0.44014702938679157,0.09238970750897003,-0.43776374523300193,0.4442773355971542
consumed,67#7,MC_ON,BC,U,4,4879,770,770,0.26634382566585957,-0.20214299187215143,0.7712515955922269,0.8439597952418173,0.03743852081454907,1.0918959394586283,-0.6814905586754898,0.6330904734700611,-0.6778736078864723,0.8358045970387826
consumed,67#7,MC_ON,BC,U,5,238,3724,238,0.08232445520581114,0.16708413469743044,2.924509070704659,3.821704425537476,0.9004601955142781,1.7692103036297462,2.924509070704659,3.821704425537476,2.9259553951700332,3.4362267864913623
consumed,67#7,MC_ON,BC,LSC,1,5950,0,0,0.0,,0.6891854794431327,,0.024302873547589844,,-0.6556356257752329,,-0.6524784220012596,
consumed,67#7,MC_ON,BC,LSC,2,1694,0,0,0.0,,0.38139279966630596,,0.12301099971066587,,-0.21853720267411947,,-0.21761517623234702,
consumed,67#7,MC_ON,BC,LSC,3,868,133,133,0.1919191919191919,0.08041884996881363,0.3773856504913104,1.443821421489446,0.24166618098829673,0.31248694484458356,0.07968592946766268,1.028976435421786,0.08165409239033276,1.0284850178592788
consumed,67#7,MC_ON,BC,LSC,4,413,1736,413,0.5959595959595959,-0.037471438187065886,0.9514024950090187,1.0583274800611893,0.5073082693839893,0.5824627027309872,0.8281025041336564,0.8217103140032318,0.8301969443363699,0.8256676881156264
consumed,67#7,MC_ON,BC,LSC,5,147,4508,147,0.21212121212121213,0.16424086818145428,2.5125896229005846,2.977370407486436,1.448862293927475,1.785562230848236,2.5125896229005846,2.9410541077242383,2.5133254804028495,2.824671885600087
consumed,67#7,MC_ON,AC,U,1,1253,777,777,0.2687651331719128,-0.10103661958286084,0.12259791096450288,0.11727966962052551,0.17120295979362798,0.8451677320304365,-0.041677107707866076,0.01688700100590564,-0.04211418824256411,0.4199656441822233
consumed,67#7,MC_ON,AC,U,2,1638,777,777,0.2687651331719128,0.03419565145165254,0.37202498573041004,0.3702442640185306,0.16862365296547285,0.9507045080666298,-0.20831041939289885,0.07540608727931314,-0.20644879853276205,0.5034875581395818
consumed,67#7,MC_ON,AC,U,3,1064,329,329,0.11380145278450363,0.32408139723500134,0.577652116697193,0.5792952337929134,0.0916871493546542,0.8429750079435603,-0.44014702938679157,0.09238970750897003,-0.43776374523300193,0.4442773355971542
consumed,67#7,MC_ON,AC,U,4,4879,770,770,0.26634382566585957,0.45494469769459844,0.7712515955922269,0.8439597952418173,0.03743852081454907,1.0918959394586283,-0.6814905586754898,0.6330904734700611,-0.6778736078864723,0.8358045970387826
consumed,67#7,MC_ON,AC,U,5,238,3724,238,0.08232445520581114,0.21863013847341561,2.924509070704659,3.821704425537476,0.9004601955142781,1.7692103036297462,2.924509070704659,3.821704425537476,2.9259553951700332,3.4362267864913623
consumed,67#7,MC_ON,AC,LSC,1,5950,0,0,0.0,,0.6891854794431327,,0.024302873547589844,,-0.6556356257752329,,-0.6524784220012596,
consumed,67#7,MC_ON,AC,LSC,2,1694,0,0,0.0,,0.38139279966630596,,0.12301099971066587,,-0.21853720267411947,,-0.21761517623234702,
consumed,67#7,MC_ON,AC,LSC,3,868,133,133,0.1919191919191919,0.47544482673690663,0.3773856504913104,1.443821421489446,0.24166618098829673,0.31248694484458356,0.07968592946766268,1.028976435421786,0.08165409239033276,1.0284850178592788
consumed,67#7,MC_ON,AC,LSC,4,413,1736,413,0.5959595959595959,-0.08183542797563409,0.9514024950090187,1.0583274800611893,0.5073082693839893,0.5824627027309872,0.8281025041336564,0.8217103140032318,0.8301969443363699,0.8256676881156264
consumed,67#7,MC_ON,AC,LSC,5,147,4508,147,0.21212121212121213,0.189682247035865,2.5125896229005846,2.977370407486436,1.448862293927475,1.785562230848236,2.5125896229005846,2.9410541077242383,2.5133254804028495,2.824671885600087
consumed,67#14,PC_ON,BC,U,1,987,805,805,0.23958333333333334,0.3042232957628741,0.13304629047580413,0.11673348810809725,0.1325431566500984,0.9508404243723755,-0.0682984235666978,0.005728992333499027,-0.06936005561776436,0.5942649813292623
consumed,67#14,PC_ON,BC,U,2,1134,945,945,0.28125,0.11327640102292177,0.3681035403733179,0.36076036939759637,0.14014786065546414,0.8404147831920425,-0.1682309399466361,0.006650872291410687,-0.16544866008952797,0.4652493062759175
consumed,67#14,PC_ON,BC,U,3,959,490,490,0.14583333333333334,-0.07154554725570045,0.5775096766093243,0.572877305167328,0.08192748342937013,0.828207816107772,-0.42494888327009706,0.13516682579980366,-0.4245076054432984,0.47239699261522866
consumed,67#14,PC_ON,BC,U,4,5012,910,910,0.2708333333333333,0.007079544292292239,0.7702151088345817,0.8517849832074716,0.028993394658516507,0.9533250786159029,-0.6920309069373921,0.48411043199101605,-0.689289288671303,0.6759924577289405
consumed,67#14,PC_ON,BC,U,5,210,3780,210,0.0625,-0.8600988730676975,4.091014544914166,3.9504371857558405,0.4614859827335775,1.5631515707165828,4.091014544914166,3.9504371857558405,4.091751158465113,3.532948821114217
consumed,67#14,PC_ON,BC,LSC,1,6188,0,0,0.0,,0.6997077308381972,,0.0207344651107014,,-0.6283218088677407,,-0.6259669560822603,
consumed,67#14,PC_ON,BC,LSC,2,1134,0,0,0.0,,0.5217294674297995,,0.10611951976744324,,-0.07529984569973075,,-0.07461872333617603,
consumed,67#14,PC_ON,BC,LSC,3,532,70,70,0.13513513513513514,0.006998094644907887,0.5659091725281445,0.5583754434599542,0.200636955358258,0.25859149110575125,0.25391266374017024,0.19731779949506745,0.25434473493588855,0.13256065646419302
consumed,67#14,PC_ON,BC,LSC,4,329,1995,329,0.6351351351351351,-0.2533727220728742,0.914235310384569,0.9449747678613405,0.4022005112931845,0.49305780437674046,0.8041892679777564,0.6811880726687888,0.8057755457265433,0.6379466794459643
consumed,67#14,PC_ON,BC,LSC,5,119,4865,119,0.22972972972972974,0.07703764020761106,2.510330351836541,2.980280542752321,1.0322348119402818,1.590940879007031,2.510330351836541,2.893636025100877,2.5131048938743397,2.8442415703350754
consumed,67#14,PC_ON,AC,U,1,987,805,805,0.23958333333333334,0.05089902759468756,0.13304629047580413,0.11673348810809725,0.1325431566500984,0.9508404243723755,-0.0682984235666978,0.005728992333499027,-0.06936005561776436,0.5942649813292623
consumed,67#14,PC_ON,AC,U,2,1134,945,945,0.28125,0.030316507534839235,0.3681035403733179,0.36076036939759637,0.14014786065546414,0.8404147831920425,-0.1682309399466361,0.006650872291410687,-0.16544866008952797,0.4652493062759175
consumed,67#14,PC_ON,AC,U,3,959,490,490,0.14583333333333334,0.06199127960518672,0.5775096766093243,0.572877305167328,0.08192748342937013,0.828207816107772,-0.42494888327009706,0.13516682579980366,-0.4245076054432984,0.47239699261522866
consumed,67#14,PC_ON,AC,U,4,5012,910,910,0.2708333333333333,0.07700190764085657,0.7702151088345817,0.8517849832074716,0.028993394658516507,0.9533250786159029,-0.6920309069373921,0.48411043199101605,-0.689289288671303,0.6759924577289405
consumed,67#14,PC_ON,AC,U,5,210,3780,210,0.0625,0.4002026255738913,4.091014544914166,3.9504371857558405,0.4614859827335775,1.5631515707165828,4.091014544914166,3.9504371857558405,4.091751158465113,3.532948821114217
consumed,67#14,PC_ON,AC,LSC,1,6188,0,0,0.0,,0.6997077308381972,,0.0207344651107014,,-0.6283218088677407,,-0.6259669560822603,
consumed,67#14,PC_ON,AC,LSC,2,1134,0,0,0.0,,0.5217294674297995,,0.10611951976744324,,-0.07529984569973075,,-0.07461872333617603,
consumed,67#14,PC_ON,AC,LSC,3,532,70,70,0.13513513513513514,0.01111211264016454,0.5659091725281445,0.5583754434599542,0.200636955358258,0.25859149110575125,0.25391266374017024,0.19731779949506745,0.25434473493588855,0.13256065646419302
consumed,67#14,PC_ON,AC,LSC,4,329,1995,329,0.6351351351351351,-0.08870396072662312,0.914235310384569,0.9449747678613405,0.4022005112931845,0.49305780437674046,0.8041892679777564,0.6811880726687888,0.8057755457265433,0.6379466794459643
consumed,67#14,PC_ON,AC,LSC,5,119,4865,119,0.22972972972972974,0.3133914936618321,2.510330351836541,2.980280542752321,1.0322348119402818,1.590940879007031,2.510330351836541,2.893636025100877,2.5131048938743397,2.8442415703350754
consumed,67#21,PC_ON,BC,U,1,1281,672,672,0.26666666666666666,0.0041698241695957705,0.11945897633735204,0.12768973863755187,0.1606493689733048,1.0383291054519954,-0.028841058806983958,0.0020762858145341547,-0.028895477929009497,0.5686403201560349
consumed,67#21,PC_ON,BC,U,2,1533,658,658,0.2611111111111111,0.12785342303723046,0.35424872704773086,0.35913280808389125,0.13758807922079605,1.0035557347982353,-0.2081682709923873,0.04179913902028583,-0.2065102204432961,0.4515702692717099
consumed,67#21,PC_ON,BC,U,3,1050,329,329,0.13055555555555556,0.09820607496220199,0.5575716009984414,0.5474594760032252,0.0969790697309178,0.8894303844178579,-0.3599211716900269,0.17728502926555403,-0.3573508077512702,0.5114603026386648
consumed,67#21,PC_ON,BC,U,4,5096,469,469,0.18611111111111112,0.03086078987139873,0.7641087550040498,0.7410088055315358,0.03410113382075213,1.240246177659605,-0.6952308624097566,0.2770744976413839,-0.691946361616984,0.7734543101475181
consumed,67#21,PC_ON,BC,U,5,392,3556,392,0.15555555555555556,0.21462114481003214,2.8554689389254366,3.990012115884025,0.5861417728385286,1.6615960616148011,2.8554689389254366,3.990012115884025,2.8534012094494847,3.5441855278642382
consumed,67#21,PC_ON,BC,LSC,1,6279,0,0,0.0,,0.6876838448666297,,0.023054194112614727,,-0.628174922551301,,-0.6249726982426206,
consumed,67#21,PC_ON,BC,LSC,2,1603,0,0,0.0,,0.41543873478946997,,0.11092746557856051,,-0.14318945487257342,,-0.14220480910709205,
consumed,67#21,PC_ON,BC,LSC,3,896,49,49,0.07865168539325842,0.06178237749968793,0.3704477500732537,0.5133781598082611,0.22073786184834884,0.2941184866241593,0.0777403149568272,0.3027129444692816,0.07720032772701112,0.13651203622333313
consumed,67#21,PC_ON,BC,LSC,4,378,1113,378,0.6067415730337079,-0.06835291809243393,1.1354596052422292,1.2341758664203193,0.43942926043222835,0.5366642577652893,1.0500213666991502,1.0474795061840863,1.0499427446713572,0.9176134291116443
consumed,67#21,PC_ON,BC,LSC,5,196,4522,196,0.3146067415730337,0.056655429060724294,2.804808159325538,3.016243698454259,1.2021936041120427,1.665040105378525,2.804808159325538,2.9245863049505973,2.8044337863953497,2.8273796868779244
consumed,67#21,PC_ON,AC,U,1,1281,672,672,0.26666666666666666,-0.043712357529977326,0.11945897633735204,0.12768973863755187,0.1606493689733048,1.0383291054519954,-0.028841058806983958,0.0020762858145341547,-0.028895477929009497,0.5686403201560349
